id,hreflang,itemLabel,title,href,url,item,type,linkcount
Q10954578,af,Wikipedia:Manual of Style/Spelling,Hulp:Speltoetser,https://af.wikipedia.org/wiki/Hulp:Speltoetser,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,gsw,Wikipedia:Manual of Style/Spelling,Hilfe:Schrybig,https://als.wikipedia.org/wiki/Hilfe:Schrybig,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,ar,Wikipedia:Manual of Style/Spelling,ويكيبيديا:دليل الأسلوب/اللغة,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%AF%D9%84%D9%8A%D9%84_%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D9%88%D8%A8/%D8%A7%D9%84%D9%84%D8%BA%D8%A9,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,bar,Wikipedia:Manual of Style/Spelling,Wikipedia:Boarische Umschrift,https://bar.wikipedia.org/wiki/Wikipedia:Boarische_Umschrift,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,be-tarask,Wikipedia:Manual of Style/Spelling,Вікіпэдыя:Правапіс,https://be-tarask.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D1%8D%D0%B4%D1%8B%D1%8F:%D0%9F%D1%80%D0%B0%D0%B2%D0%B0%D0%BF%D1%96%D1%81,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,bn,Wikipedia:Manual of Style/Spelling,উইকিপিডিয়া:বাংলা বানানের নিয়ম,https://bn.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE_%E0%A6%AC%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0_%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%AE,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,ca,Wikipedia:Manual of Style/Spelling,Viquipèdia:Llibre d'estil/Variants lingüístiques,https://ca.wikipedia.org/wiki/Viquip%C3%A8dia:Llibre_d%27estil/Variants_ling%C3%BC%C3%ADstiques,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,cs,Wikipedia:Manual of Style/Spelling,Wikipedie:Pravopis,https://cs.wikipedia.org/wiki/Wikipedie:Pravopis,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,de,Wikipedia:Manual of Style/Spelling,Wikipedia:Rechtschreibung,https://de.wikipedia.org/wiki/Wikipedia:Rechtschreibung,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
Q10954578,en,Wikipedia:Manual of Style/Spelling,Wikipedia:Manual of Style/Spelling,https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style/Spelling,https://www.wikidata.org/wiki/Q10954578,http://www.wikidata.org/entity/Q10954578,http://www.wikidata.org/entity/Q4656150,35
